# feature;class;assembly;assembly_unit;seq_type;chromosome;genomic_accession;start;end;strand;product_accession;non-redundant_refseq;related_accession;name;symbol;GeneID;locus_tag;feature_interval_length;product_length;attributes
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;35212;35613;+;QGZ97213.1;;;30S ribosomal protein S6;rpsF;;GE118_00145;402;133;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;35634;36242;+;;;;;ssb;;GE118_00150;609;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;35634;36242;+;QGZ97214.1;;;single-stranded DNA-binding protein;ssb;;GE118_00150;609;202;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;36279;36536;+;;;;;rpsR;;GE118_00155;258;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;36279;36536;+;QGZ97215.1;;;30S ribosomal protein S18;rpsR;;GE118_00155;258;85;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;37048;37815;+;;;;;;;GE118_00160;768;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;37048;37815;+;QGZ97216.1;;;hypothetical protein;;;GE118_00160;768;255;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;38485;40149;+;;;;;;;GE118_00165;1665;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;38485;40149;+;QGZ97217.1;;;IS1634 family transposase;;;GE118_00165;1665;554;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;40267;40944;-;;;;;pgmB;;GE118_00170;678;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;40267;40944;-;QGZ97218.1;;;beta-phosphoglucomutase;pgmB;;GE118_00170;678;225;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;40937;43306;-;;;;;;;GE118_00175;2370;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;40937;43306;-;QGZ97219.1;;;glycoside hydrolase family 65 protein;;;GE118_00175;2370;789;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;43314;44954;-;;;;;;;GE118_00180;1641;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;43314;44954;-;QGZ97220.1;;;sucrase-isomaltase;;;GE118_00180;1641;546;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;44962;46971;-;;;;;;;GE118_00185;2010;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;44962;46971;-;QGZ97221.1;;;pullulanase;;;GE118_00185;2010;669;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;47121;47789;-;;;;;;;GE118_00190;669;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;47121;47789;-;QGZ97222.1;;;GntR family transcriptional regulator;;;GE118_00190;669;222;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;48018;49781;-;;;;;;;GE118_00195;1764;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;48018;49781;-;QGZ97223.1;;;alpha-amylase;;;GE118_00195;1764;587;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;49863;50609;-;;;;;;;GE118_00200;747;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;49863;50609;-;QGZ97224.1;;;hypothetical protein;;;GE118_00200;747;248;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;50639;51145;-;;;;;;;GE118_00205;507;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;50639;51145;-;QGZ97225.1;;;hypothetical protein;;;GE118_00205;507;168;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;51509;52243;-;;;;;;;GE118_00210;735;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;51509;52243;-;QGZ97226.1;;;hypothetical protein;;;GE118_00210;735;244;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;52243;53454;-;;;;;;;GE118_00215;1212;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;52243;53454;-;QGZ97227.1;;;ATP-binding cassette domain-containing protein;;;GE118_00215;1212;403;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;53456;54409;-;;;;;;;GE118_00220;954;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;53456;54409;-;QGZ97228.1;;;maltodextrin ABC transporter permease subunit;;;GE118_00220;954;317;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;54412;57474;-;;;;;;;GE118_00225;3063;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;54412;57474;-;QGZ97229.1;;;ABC transporter permease subunit;;;GE118_00225;3063;1020;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;58041;60026;-;;;;;;;GE118_00230;1986;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;58041;60026;-;QGZ97230.1;;;hypothetical protein;;;GE118_00230;1986;661;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;60182;60511;-;;;;;;;GE118_00235;330;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;60182;60511;-;QGZ97231.1;;;hypothetical protein;;;GE118_00235;330;109;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;60564;61010;-;;;;;;;GE118_00240;447;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;60564;61010;-;QGZ97232.1;;;hypothetical protein;;;GE118_00240;447;148;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;61107;63059;-;;;;;;;GE118_00245;1953;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;61107;63059;-;QGZ97233.1;;;alpha-amylase;;;GE118_00245;1953;650;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;63059;64987;-;;;;;;;GE118_00250;1929;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;63059;64987;-;QGZ97234.1;;;alpha-amylase;;;GE118_00250;1929;642;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;65111;66769;+;;;;;;;GE118_00255;1659;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;65111;66769;+;QGZ97235.1;;;IS1634 family transposase;;;GE118_00255;1659;552;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;67321;68028;+;;;;;;;GE118_00260;708;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;67321;68028;+;QGZ97236.1;;;hypothetical protein;;;GE118_00260;708;235;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;68233;68625;-;;;;;;;GE118_00265;393;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;68233;68625;-;QGZ97237.1;;;hypothetical protein;;;GE118_00265;393;130;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;69273;70193;-;;;;;;;GE118_00270;921;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;69273;70193;-;QGZ97238.1;;;hypothetical protein;;;GE118_00270;921;306;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;70198;72903;-;;;;;;;GE118_00275;2706;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;70198;72903;-;QGZ97239.1;;;DUF87 domain-containing protein;;;GE118_00275;2706;901;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;72905;73390;-;;;;;;;GE118_00280;486;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;72905;73390;-;QGZ97240.1;;;hypothetical protein;;;GE118_00280;486;161;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;73380;73979;-;;;;;;;GE118_00285;600;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;73380;73979;-;QGZ97241.1;;;hypothetical protein;;;GE118_00285;600;199;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;73963;75810;-;;;;;;;GE118_00290;1848;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;73963;75810;-;QGZ97242.1;;;hypothetical protein;;;GE118_00290;1848;615;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;75825;76142;-;;;;;;;GE118_00295;318;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;75825;76142;-;QGZ97243.1;;;hypothetical protein;;;GE118_00295;318;105;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;76745;77968;+;;;;;;;GE118_00300;1224;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;76745;77968;+;QGZ97244.1;;;hypothetical protein;;;GE118_00300;1224;407;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;78215;79468;+;;;;;;;GE118_00305;1254;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;78215;79468;+;QGZ97245.1;;;hypothetical protein;;;GE118_00305;1254;417;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;79576;80454;+;;;;;cas1;;GE118_00310;879;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;79576;80454;+;QGZ97246.1;;;type II CRISPR-associated endonuclease Cas1;cas1;;GE118_00310;879;292;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;80480;80770;+;;;;;cas2;;GE118_00315;291;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;80480;80770;+;QGZ97247.1;;;CRISPR-associated endonuclease Cas2;cas2;;GE118_00315;291;96;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;80770;81543;+;;;;;;;GE118_00320;774;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;80770;81543;+;QGZ97248.1;;;hypothetical protein;;;GE118_00320;774;257;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;83276;84934;-;;;;;;;GE118_00325;1659;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;83276;84934;-;QGZ97249.1;;;IS1634 family transposase;;;GE118_00325;1659;552;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;85275;87314;-;;;;;;;GE118_00330;2040;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;85275;87314;-;QGZ97250.1;;;hypothetical protein;;;GE118_00330;2040;679;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;87528;90062;-;;;;;;;GE118_00335;2535;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;87528;90062;-;QGZ97251.1;;;hypothetical protein;;;GE118_00335;2535;844;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;90403;92460;-;;;;;;;GE118_00340;2058;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;90403;92460;-;QGZ97252.1;;;hypothetical protein;;;GE118_00340;2058;685;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;92623;94683;-;;;;;;;GE118_00345;2061;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;92623;94683;-;QGZ97253.1;;;hypothetical protein;;;GE118_00345;2061;686;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;94970;98656;-;;;;;;;GE118_00350;3687;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;94970;98656;-;QGZ97254.1;;;hypothetical protein;;;GE118_00350;3687;1228;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;98756;102508;-;;;;;;;GE118_00355;3753;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;98756;102508;-;QGZ97255.1;;;hypothetical protein;;;GE118_00355;3753;1250;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;102668;103948;-;;;;;;;GE118_00360;1281;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;102668;103948;-;QGZ97256.1;;;hypothetical protein;;;GE118_00360;1281;426;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;104117;104671;-;;;;;;;GE118_00365;555;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;104117;104671;-;QGZ97257.1;;;hypothetical protein;;;GE118_00365;555;184;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;104671;104931;-;;;;;;;GE118_00370;261;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;104671;104931;-;QGZ97258.1;;;hypothetical protein;;;GE118_00370;261;86;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;104931;105566;-;;;;;;;GE118_00375;636;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;104931;105566;-;QGZ97259.1;;;hypothetical protein;;;GE118_00375;636;211;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;105559;106176;-;;;;;;;GE118_00380;618;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;105559;106176;-;QGZ97260.1;;;hypothetical protein;;;GE118_00380;618;205;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;106142;106762;-;;;;;;;GE118_00385;621;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;106142;106762;-;QGZ97261.1;;;hypothetical protein;;;GE118_00385;621;206;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;106762;107352;-;;;;;;;GE118_00390;591;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;106762;107352;-;QGZ97262.1;;;hypothetical protein;;;GE118_00390;591;196;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;107403;108173;-;;;;;;;GE118_00395;771;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;107403;108173;-;QGZ97263.1;;;hypothetical protein;;;GE118_00395;771;256;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;108175;109032;-;;;;;;;GE118_00400;858;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;108175;109032;-;QGZ97264.1;;;hypothetical protein;;;GE118_00400;858;285;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;109078;109656;-;;;;;;;GE118_00405;579;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;109078;109656;-;QGZ97265.1;;;hypothetical protein;;;GE118_00405;579;192;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;109712;110188;-;;;;;;;GE118_00410;477;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;109712;110188;-;QGZ97266.1;;;hypothetical protein;;;GE118_00410;477;158;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;110219;110764;-;;;;;;;GE118_00415;546;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;110219;110764;-;QGZ97267.1;;;hypothetical protein;;;GE118_00415;546;181;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;110742;110951;-;;;;;;;GE118_00420;210;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;110742;110951;-;QGZ97268.1;;;hypothetical protein;;;GE118_00420;210;69;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;110938;111525;-;;;;;;;GE118_00425;588;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;110938;111525;-;QGZ97269.1;;;sugar-phosphate nucleotidyltransferase;;;GE118_00425;588;195;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;111509;112165;-;;;;;;;GE118_00430;657;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;111509;112165;-;QGZ97270.1;;;putative C5 cytosine methyltransferase (MAV1virus-like);;;GE118_00430;657;218;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;112246;113085;-;;;;;;;GE118_00435;840;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;112246;113085;-;QGZ97271.1;;;hypothetical protein;;;GE118_00435;840;279;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;113063;113512;-;;;;;;;GE118_00440;450;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;113063;113512;-;QGZ97272.1;;;Holliday junction DNA helicase RuvA;;;GE118_00440;450;149;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;113514;113999;-;;;;;;;GE118_00445;486;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;113514;113999;-;QGZ97273.1;;;hypothetical protein;;;GE118_00445;486;161;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;114139;114909;-;;;;;;;GE118_00450;771;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;114139;114909;-;QGZ97274.1;;;hypothetical protein;;;GE118_00450;771;256;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;114911;115768;-;;;;;;;GE118_00455;858;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;114911;115768;-;QGZ97275.1;;;hypothetical protein;;;GE118_00455;858;285;
gene;protein_coding;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;115755;116105;-;;;;;;;GE118_00460;351;;
CDS;with_protein;GCA_009792315.1;Primary Assembly;chromosome;;CP045542.1;115755;116105;-;QGZ97276.1;;;hypothetical protein;;;GE118_00460;351;116;
