# feature;class;assembly;assembly_unit;seq_type;chromosome;genomic_accession;start;end;strand;product_accession;non-redundant_refseq;related_accession;name;symbol;GeneID;locus_tag;feature_interval_length;product_length;attributes
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;9923;11251;+;AFQ03802.1;;;tRNA modification GTPase TrmE;trmE;;CM1_00040;1329;442;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;11251;12039;+;;;;;;;CM1_00045;789;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;11251;12039;+;AFQ03803.1;;;TatD family deoxyribonuclease;;;CM1_00045;789;262;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;12068;12724;+;;;;;;;CM1_00050;657;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;12068;12724;+;AFQ03804.1;;;DNA primase-related protein;;;CM1_00050;657;218;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;12701;13564;-;;;;;;;CM1_00055;864;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;12701;13564;-;AFQ03805.1;;;hypothetical protein;;;CM1_00055;864;287;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;13569;14432;-;;;;;;;CM1_00060;864;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;13569;14432;-;AFQ03806.1;;;alpha-L-glutamate ligase;;;CM1_00060;864;287;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;14395;15216;-;;;;;;;CM1_00065;822;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;14395;15216;-;AFQ03807.1;;;methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase;;;CM1_00065;822;273;
gene;tRNA;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;15294;15369;-;;;;;;;CM1_t02817;76;;
tRNA;;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;15294;15369;-;;;;tRNA-Ala;;;CM1_t02817;76;;
gene;tRNA;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;15375;15451;-;;;;;;;CM1_t02819;77;;
tRNA;;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;15375;15451;-;;;;tRNA-Ile;;;CM1_t02819;77;;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;15555;17426;+;;;;;;;CM1_00070;1872;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;15555;17426;+;AFQ03808.1;;;ABC transporter ATP-binding protein/permease;;;CM1_00070;1872;623;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;17473;19242;+;;;;;;;CM1_00075;1770;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;17473;19242;+;AFQ03809.1;;;ABC transporter ATP-binding protein/permease;;;CM1_00075;1770;589;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;19252;22296;+;;;;;;;CM1_00080;3045;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;19252;22296;+;AFQ03810.1;;;SNF2 family helicase;;;CM1_00080;3045;1014;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;22388;23557;+;;;;;;;CM1_00085;1170;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;22388;23557;+;AFQ03811.1;;;molecular chaperone DnaJ;;;CM1_00085;1170;389;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;23541;24467;+;;;;;;;CM1_00090;927;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;23541;24467;+;AFQ03812.1;;;proline iminopeptidase;;;CM1_00090;927;308;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;24467;26005;+;;;;;;;CM1_00095;1539;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;24467;26005;+;AFQ03813.1;;;methionyl-tRNA synthetase;;;CM1_00095;1539;512;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;26035;26472;+;;;;;;;CM1_00100;438;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;26035;26472;+;AFQ03814.1;;;DNA-directed RNA polymerase subunit delta;;;CM1_00100;438;145;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;26478;27344;+;;;;;;;CM1_00105;867;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;26478;27344;+;AFQ03815.1;;;fructose-1,6-bisphosphate aldolase, class II;;;CM1_00105;867;288;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;27345;28448;+;;;;;;;CM1_00110;1104;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;27345;28448;+;AFQ03816.1;;;GTP-binding protein YchF;;;CM1_00110;1104;367;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;28729;29547;+;;;;;;;CM1_00115;819;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;28729;29547;+;AFQ03817.1;;;glycosyl transferase, group 2 family protein;;;CM1_00115;819;272;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;29551;30123;+;;;;;;;CM1_00120;573;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;29551;30123;+;AFQ03818.1;;;elongation factor P;;;CM1_00120;573;190;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;30092;30547;+;;;;;;;CM1_00125;456;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;30092;30547;+;AFQ03819.1;;;transcription termination/antitermination protein NusB;;;CM1_00125;456;151;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;30547;31152;+;;;;;;;CM1_00130;606;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;30547;31152;+;AFQ03820.1;;;hypothetical protein;;;CM1_00130;606;201;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;31142;31702;-;;;;;;;CM1_00135;561;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;31142;31702;-;AFQ03821.1;;;DJ-1/PfpI family protein;;;CM1_00135;561;186;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;31704;32324;-;;;;;upp;;CM1_00140;621;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;31704;32324;-;AFQ03822.1;;;uracil phosphoribosyltransferase;upp;;CM1_00140;621;206;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;32358;36713;-;;;;;;;CM1_00145;4356;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;32358;36713;-;AFQ03823.1;;;DNA polymerase III PolC;;;CM1_00145;4356;1451;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;36973;38973;+;;;;;;;CM1_00150;2001;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;36973;38973;+;AFQ03824.1;;;hypothetical protein;;;CM1_00150;2001;666;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;39123;39899;+;;;;;;;CM1_00155;777;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;39123;39899;+;AFQ03825.1;;;glycerol uptake facilitator;;;CM1_00155;777;258;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;39868;40509;-;;;;;;;CM1_00160;642;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;39868;40509;-;AFQ03826.1;;;thymidine kinase;;;CM1_00160;642;213;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;40538;41782;+;;;;;hisS;;CM1_00165;1245;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;40538;41782;+;AFQ03827.1;;;histidyl-tRNA ligase;hisS;;CM1_00165;1245;414;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;41754;43424;+;;;;;;;CM1_00170;1671;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;41754;43424;+;AFQ03828.1;;;aspartyl-tRNA synthetase;;;CM1_00170;1671;556;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;44745;46271;-;;;;;glpK;;CM1_00185;1527;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;44745;46271;-;AFQ03829.1;;;glycerol kinase;glpK;;CM1_00185;1527;508;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;46262;47416;-;;;;;;;CM1_00190;1155;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;46262;47416;-;AFQ03830.1;;;glycerol-3-phosphate dehydrogenase;;;CM1_00190;1155;384;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;47575;49350;+;;;;;;;CM1_00195;1776;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;47575;49350;+;AFQ03831.1;;;lipoprotein;;;CM1_00195;1776;591;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;49371;49637;+;;;;;;;CM1_00200;267;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;49371;49637;+;AFQ03832.1;;;phosphocarrier protein HPr;;;CM1_00200;267;88;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;49836;51515;+;;;;;;;CM1_00205;1680;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;49836;51515;+;AFQ03833.1;;;spermidine/putrescine ABC transporter ATP-binding protein;;;CM1_00205;1680;559;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;51592;52377;+;;;;;;;CM1_00210;786;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;51592;52377;+;AFQ03834.1;;;spermidine/putrescine ABC transporter permease;;;CM1_00210;786;261;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;52361;53215;+;;;;;;;CM1_00215;855;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;52361;53215;+;AFQ03835.1;;;spermidine/putrescine ABC transporter permease;;;CM1_00215;855;284;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;53200;54651;+;;;;;;;CM1_00220;1452;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;53200;54651;+;AFQ03836.1;;;spermidine/putrescine ABC transporter spermidine/putrescine binding protein;;;CM1_00220;1452;483;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;54653;55600;+;;;;;;;CM1_00225;948;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;54653;55600;+;AFQ03837.1;;;UGMP family protein;;;CM1_00225;948;315;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;55584;56735;+;;;;;;;CM1_00230;1152;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;55584;56735;+;AFQ03838.1;;;S-adenosylmethionine synthetase;;;CM1_00230;1152;383;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;56711;56968;+;;;;;;;CM1_00235;258;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;56711;56968;+;AFQ03839.1;;;hypothetical protein;;;CM1_00235;258;85;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;56965;58266;-;;;;;;;CM1_00240;1302;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;56965;58266;-;AFQ03840.1;;;signal recognition particle protein;;;CM1_00240;1302;433;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;58280;59074;+;;;;;;;CM1_00245;795;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;58280;59074;+;AFQ03841.1;;;purine nucleoside phosphorylase;;;CM1_00245;795;264;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;59078;59749;+;;;;;;;CM1_00250;672;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;59078;59749;+;AFQ03842.1;;;deoxyribose-phosphate aldolase;;;CM1_00250;672;223;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;59736;61001;+;;;;;deoA;;CM1_00255;1266;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;59736;61001;+;AFQ03843.1;;;thymidine phosphorylase;deoA;;CM1_00255;1266;421;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;61010;61402;+;;;;;;;CM1_00260;393;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;61010;61402;+;AFQ03844.1;;;cytidine deaminase;;;CM1_00260;393;130;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;61402;63054;+;;;;;;;CM1_00265;1653;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;61402;63054;+;AFQ03845.1;;;phosphomannomutase;;;CM1_00265;1653;550;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;63031;63981;-;;;;;;;CM1_00270;951;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;63031;63981;-;AFQ03846.1;;;transcription antitermination protein NusG;;;CM1_00270;951;316;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;63985;64356;-;;;;;;;CM1_00275;372;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;63985;64356;-;AFQ03847.1;;;preprotein translocase subunit SecE;;;CM1_00275;372;123;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;64363;64509;-;;;;;rpmG;;CM1_00280;147;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;64363;64509;-;AFQ03848.1;;;50S ribosomal protein L33;rpmG;;CM1_00280;147;48;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;64523;64906;-;;;;;;;CM1_00285;384;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;64523;64906;-;AFQ03849.1;;;hypothetical protein;;;CM1_00285;384;127;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;64893;65726;-;;;;;;;CM1_00290;834;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;64893;65726;-;AFQ03850.1;;;tetrapyrrole (corrin/porphyrin) methylase protein;;;CM1_00290;834;277;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;65708;66244;-;;;;;;;CM1_00295;537;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;65708;66244;-;AFQ03851.1;;;small primase-like protein;;;CM1_00295;537;178;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;66223;67221;-;;;;;;;CM1_00300;999;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;66223;67221;-;AFQ03852.1;;;ribose-phosphate pyrophosphokinase;;;CM1_00300;999;332;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;67202;67639;-;;;;;;;CM1_00305;438;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;67202;67639;-;AFQ03853.1;;;SsrA-binding protein;;;CM1_00305;438;145;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;67646;68539;+;;;;;;;CM1_00310;894;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;67646;68539;+;AFQ03854.1;;;glycosyl transferase, group 2 family protein;;;CM1_00310;894;297;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;68518;70221;-;;;;;;;CM1_00315;1704;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;68518;70221;-;AFQ03855.1;;;MFS family transporter;;;CM1_00315;1704;567;
gene;tRNA;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;70389;70477;-;;;;;;;CM1_t02821;89;;
tRNA;;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;70389;70477;-;;;;tRNA-Ser;;;CM1_t02821;89;;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;70526;72568;+;;;;;;;CM1_00320;2043;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;70526;72568;+;AFQ03856.1;;;PTS system, fructose-specific IIABC component;;;CM1_00320;2043;680;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;72519;73430;+;;;;;;;CM1_00325;912;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;72519;73430;+;AFQ03857.1;;;1-phosphofructokinase;;;CM1_00325;912;303;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;73441;73644;+;;;;;;;CM1_00330;204;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;73441;73644;+;AFQ03858.1;;;hypothetical protein;;;CM1_00330;204;67;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;73686;77681;+;;;;;;;CM1_00335;3996;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;73686;77681;+;AFQ03859.1;;;ABC transporter permease;;;CM1_00335;3996;1331;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;77681;79081;+;;;;;;;CM1_00340;1401;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;77681;79081;+;AFQ03860.1;;;ABC transporter ATP-binding protein;;;CM1_00340;1401;466;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;79085;81031;+;;;;;;;CM1_00345;1947;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;79085;81031;+;AFQ03861.1;;;transketolase;;;CM1_00345;1947;648;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;81081;82592;+;;;;;;;CM1_00350;1512;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;81081;82592;+;AFQ03862.1;;;lipoprotein;;;CM1_00350;1512;503;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;82616;84040;+;;;;;;;CM1_00355;1425;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;82616;84040;+;AFQ03863.1;;;lipoprotein;;;CM1_00355;1425;474;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;84078;84404;+;;;;;;;CM1_00360;327;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;84078;84404;+;AFQ03864.1;;;hypothetical protein;;;CM1_00360;327;108;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;84547;84975;+;;;;;;;CM1_00365;429;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;84547;84975;+;AFQ03865.1;;;hypothetical protein;;;CM1_00365;429;142;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;85263;85550;+;;;;;;;CM1_00370;288;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;85263;85550;+;AFQ03866.1;;;hypothetical protein;;;CM1_00370;288;95;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;85757;85975;+;;;;;;;CM1_00375;219;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;85757;85975;+;AFQ03867.1;;;MgPa adhesin;;;CM1_00375;219;72;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;86023;86199;-;;;;;;;CM1_00380;177;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;86023;86199;-;AFQ03868.1;;;hypothetical protein;;;CM1_00380;177;58;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;86242;86502;+;;;;;;;CM1_00385;261;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;86242;86502;+;AFQ03869.1;;;MgPa adhesin;;;CM1_00385;261;86;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;86489;86617;+;;;;;;;CM1_00390;129;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;86489;86617;+;AFQ03870.1;;;MgPa adhesin;;;CM1_00390;129;42;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;86828;87535;+;;;;;;;CM1_00395;708;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;86828;87535;+;AFQ03871.1;;;hypothetical protein;;;CM1_00395;708;235;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;87582;87857;+;;;;;;;CM1_00400;276;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;87582;87857;+;AFQ03872.1;;;MgPa adhesin;;;CM1_00400;276;91;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;87949;88221;+;;;;;;;CM1_00405;273;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;87949;88221;+;AFQ03873.1;;;hypothetical protein;;;CM1_00405;273;90;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;88242;90968;+;;;;;;;CM1_00410;2727;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;88242;90968;+;AFQ03874.1;;;PTS system, glucose-specific IIABC component;;;CM1_00410;2727;908;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;91079;91933;+;;;;;rpsB;;CM1_00415;855;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;91079;91933;+;AFQ03875.1;;;30S ribosomal protein S2;rpsB;;CM1_00415;855;284;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;94548;96968;+;;;;;secA;;CM1_00430;2421;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;94548;96968;+;AFQ03876.1;;;preprotein translocase subunit SecA;secA;;CM1_00430;2421;806;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;96946;98916;+;;;;;;;CM1_00435;1971;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;96946;98916;+;AFQ03877.1;;;excinuclease ABC subunit B;;;CM1_00435;1971;656;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;98919;99332;+;;;;;;;CM1_00440;414;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;98919;99332;+;AFQ03878.1;;;hypothetical protein;;;CM1_00440;414;137;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;99426;102467;+;;;;;;;CM1_00445;3042;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;99426;102467;+;AFQ03879.1;;;hypothetical protein;;;CM1_00445;3042;1013;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;102464;102880;-;;;;;;;CM1_00450;417;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;102464;102880;-;AFQ03880.1;;;hypothetical protein;;;CM1_00450;417;138;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;103192;104337;+;;;;;;;CM1_00455;1146;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;103192;104337;+;AFQ03881.1;;;peptide ABC transporter permease;;;CM1_00455;1146;381;
gene;protein_coding;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;104330;105460;+;;;;;;;CM1_00460;1131;;
CDS;with_protein;GCA_000292485.1;Primary Assembly;chromosome;;CP003772.1;104330;105460;+;AFQ03882.1;;;peptide ABC transporter permease;;;CM1_00460;1131;376;
